,date,CPI
767,1958-08-01,28.9
768,1958-07-01,29.0
769,1958-06-01,28.9
770,1958-05-01,28.9
771,1958-04-01,28.9
772,1958-03-01,28.8
773,1958-02-01,28.6
774,1958-01-01,28.6
775,1957-12-01,28.4
776,1957-11-01,28.4
777,1957-10-01,28.3
778,1957-09-01,28.3
779,1957-08-01,28.3
780,1957-07-01,28.3
781,1957-06-01,28.1
782,1957-05-01,28.0
783,1957-04-01,27.9
784,1957-03-01,27.8
785,1957-02-01,27.7
786,1957-01-01,27.6
787,1956-12-01,27.6
788,1956-11-01,27.5
789,1956-10-01,27.5
790,1956-09-01,27.4
791,1956-08-01,27.3
792,1956-07-01,27.4
793,1956-06-01,27.2
794,1956-05-01,27.0
795,1956-04-01,26.9
796,1956-03-01,26.8
797,1956-02-01,26.8
798,1956-01-01,26.8
799,1955-12-01,26.8
800,1955-11-01,26.9
801,1955-10-01,26.9
802,1955-09-01,26.9
803,1955-08-01,26.8
804,1955-07-01,26.8
805,1955-06-01,26.7
806,1955-05-01,26.7
807,1955-04-01,26.7
808,1955-03-01,26.7
809,1955-02-01,26.7
810,1955-01-01,26.7
811,1954-12-01,26.7
812,1954-11-01,26.8
813,1954-10-01,26.8
814,1954-09-01,26.8
815,1954-08-01,26.9
816,1954-07-01,26.9
817,1954-06-01,26.9
818,1954-05-01,26.9
819,1954-04-01,26.8
820,1954-03-01,26.9
821,1954-02-01,26.9
822,1954-01-01,26.9
823,1953-12-01,26.9
824,1953-11-01,26.9
825,1953-10-01,27.0
826,1953-09-01,26.9
827,1953-08-01,26.9
828,1953-07-01,26.8
829,1953-06-01,26.8
830,1953-05-01,26.7
831,1953-04-01,26.6
832,1953-03-01,26.6
833,1953-02-01,26.5
834,1953-01-01,26.6
835,1952-12-01,26.7
836,1952-11-01,26.7
837,1952-10-01,26.7
838,1952-09-01,26.7
839,1952-08-01,26.7
840,1952-07-01,26.7
841,1952-06-01,26.5
842,1952-05-01,26.4
843,1952-04-01,26.4
844,1952-03-01,26.3
845,1952-02-01,26.3
846,1952-01-01,26.5
847,1951-12-01,26.5
848,1951-11-01,26.4
849,1951-10-01,26.2
850,1951-09-01,26.1
851,1951-08-01,25.9
852,1951-07-01,25.9
853,1951-06-01,25.9
854,1951-05-01,25.9
855,1951-04-01,25.8
856,1951-03-01,25.8
857,1951-02-01,25.7
858,1951-01-01,25.4
859,1950-12-01,25.0
860,1950-11-01,24.7
861,1950-10-01,24.6
862,1950-09-01,24.4
863,1950-08-01,24.3
864,1950-07-01,24.1
865,1950-06-01,23.8
866,1950-05-01,23.7
867,1950-04-01,23.6
868,1950-03-01,23.6
869,1950-02-01,23.5
870,1950-01-01,23.5
871,1949-12-01,23.6
872,1949-11-01,23.8
873,1949-10-01,23.7
874,1949-09-01,23.9
875,1949-08-01,23.8
876,1949-07-01,23.7
877,1949-06-01,23.9
878,1949-05-01,23.8
879,1949-04-01,23.9
880,1949-03-01,23.8
881,1949-02-01,23.8
882,1949-01-01,24.0
883,1948-12-01,24.1
884,1948-11-01,24.2
885,1948-10-01,24.4
886,1948-09-01,24.5
887,1948-08-01,24.5
888,1948-07-01,24.4
889,1948-06-01,24.1
890,1948-05-01,23.9
891,1948-04-01,23.8
892,1948-03-01,23.4
893,1948-02-01,23.5
894,1948-01-01,23.7
895,1947-12-01,23.4
896,1947-11-01,23.1
897,1947-10-01,23.0
898,1947-09-01,23.0
899,1947-08-01,22.5
900,1947-07-01,22.2
901,1947-06-01,22.0
902,1947-05-01,21.9
903,1947-04-01,21.9
904,1947-03-01,21.9
905,1947-02-01,21.5
906,1947-01-01,21.5
907,1946-12-01,21.5
908,1946-11-01,21.3
909,1946-10-01,20.8
910,1946-09-01,20.4
911,1946-08-01,20.2
912,1946-07-01,19.8
913,1946-06-01,18.7
914,1946-05-01,18.5
915,1946-04-01,18.4
916,1946-03-01,18.3
917,1946-02-01,18.1
918,1946-01-01,18.2
919,1945-12-01,18.2
920,1945-11-01,18.1
921,1945-10-01,18.1
922,1945-09-01,18.1
923,1945-08-01,18.1
924,1945-07-01,18.1
925,1945-06-01,18.1
926,1945-05-01,17.9
927,1945-04-01,17.8
928,1945-03-01,17.8
929,1945-02-01,17.8
930,1945-01-01,17.8
931,1944-12-01,17.8
932,1944-11-01,17.7
933,1944-10-01,17.7
934,1944-09-01,17.7
935,1944-08-01,17.7
936,1944-07-01,17.7
937,1944-06-01,17.6
938,1944-05-01,17.5
939,1944-04-01,17.5
940,1944-03-01,17.4
941,1944-02-01,17.4
942,1944-01-01,17.4
943,1943-12-01,17.4
944,1943-11-01,17.4
945,1943-10-01,17.4
946,1943-09-01,17.4
947,1943-08-01,17.3
948,1943-07-01,17.4
949,1943-06-01,17.5
950,1943-05-01,17.5
951,1943-04-01,17.4
952,1943-03-01,17.2
953,1943-02-01,16.9
954,1943-01-01,16.9
955,1942-12-01,16.9
956,1942-11-01,16.8
957,1942-10-01,16.7
958,1942-09-01,16.5
959,1942-08-01,16.5
960,1942-07-01,16.4
961,1942-06-01,16.3
962,1942-05-01,16.3
963,1942-04-01,16.1
964,1942-03-01,16
965,1942-02-01,15.8
966,1942-01-01,15.7
967,1941-12-01,15.5
968,1941-11-01,15.4
969,1941-10-01,15.3
970,1941-09-01,15.1
971,1941-08-01,14.9
972,1941-07-01,14.7
973,1941-06-01,14.7
974,1941-05-01,14.4
975,1941-04-01,14.3
976,1941-03-01,14.2
977,1941-02-01,14.1
978,1941-01-01,14.1
979,1940-12-01,14.1
980,1940-11-01,14
981,1940-10-01,14
982,1940-09-01,14
983,1940-08-01,14
984,1940-07-01,14
985,1940-06-01,14.1
986,1940-05-01,14
987,1940-04-01,14
988,1940-03-01,14
989,1940-02-01,14
990,1940-01-01,13.9
991,1939-12-01,14
992,1939-11-01,14
993,1939-10-01,14
994,1939-09-01,14.1
995,1939-08-01,13.8
996,1939-07-01,13.8
997,1939-06-01,13.8
998,1939-05-01,13.8
999,1939-04-01,13.8
1000,1939-03-01,13.9
1001,1939-02-01,13.9
1002,1939-01-01,14
1003,1938-12-01,14
1004,1938-11-01,14
1005,1938-10-01,14
1006,1938-09-01,14.1
1007,1938-08-01,14.1
1008,1938-07-01,14.1
1009,1938-06-01,14.1
1010,1938-05-01,14.1
1011,1938-04-01,14.2
1012,1938-03-01,14.1
1013,1938-02-01,14.1
1014,1938-01-01,14.2
1015,1937-12-01,14.4
1016,1937-11-01,14.5
1017,1937-10-01,14.6
1018,1937-09-01,14.6
1019,1937-08-01,14.5
1020,1937-07-01,14.5
1021,1937-06-01,14.4
1022,1937-05-01,14.4
1023,1937-04-01,14.3
1024,1937-03-01,14.2
1025,1937-02-01,14.1
1026,1937-01-01,14.1
1027,1936-12-01,14
1028,1936-11-01,14
1029,1936-10-01,14
1030,1936-09-01,14
1031,1936-08-01,14
1032,1936-07-01,13.9
1033,1936-06-01,13.8
1034,1936-05-01,13.7
1035,1936-04-01,13.7
1036,1936-03-01,13.7
1037,1936-02-01,13.8
1038,1936-01-01,13.8
1039,1935-12-01,13.8
1040,1935-11-01,13.8
1041,1935-10-01,13.7
1042,1935-09-01,13.7
1043,1935-08-01,13.7
1044,1935-07-01,13.7
1045,1935-06-01,13.7
1046,1935-05-01,13.8
1047,1935-04-01,13.8
1048,1935-03-01,13.7
1049,1935-02-01,13.7
1050,1935-01-01,13.6
1051,1934-12-01,13.4
1052,1934-11-01,13.5
1053,1934-10-01,13.5
1054,1934-09-01,13.6
1055,1934-08-01,13.4
1056,1934-07-01,13.4
1057,1934-06-01,13.4
1058,1934-05-01,13.3
1059,1934-04-01,13.3
1060,1934-03-01,13.3
1061,1934-02-01,13.3
1062,1934-01-01,13.2
1063,1933-12-01,13.2
1064,1933-11-01,13.2
1065,1933-10-01,13.2
1066,1933-09-01,13.2
1067,1933-08-01,13.2
1068,1933-07-01,13.1
1069,1933-06-01,12.7
1070,1933-05-01,12.6
1071,1933-04-01,12.6
